Group,No.,English,Latin,Portuguese_phon,Portuguese_ort,Portuguese_cog,Galician_phon,Galician_ort,Galician_cog,Castilian_phon,Castilian_ort,Castilian_cog,Catalan_phon,Catalan_ort,Catalan_cog,Asturian_phon,Asturian_ort,Asturian_cog,"Mirandese_
phon","Mirandese_
ort","Mirandese_
cog","Aragonese_
phon","Aragonese_
ort","Aragonese_
cog","Ladino_
phon","Ladino_
ort","Ladino_
cog"
I,14,when,quando,[kuãdu],quando,yes,[kando̝],cando,yes,[kwando],cuando,yes,[kwan],quan,no,[kwa(ŋ)ndo],cuando,yes,,,,,,,,,
I,15,how,quōmodo,[komu],como,no,[komo̝],como,no,[komo],cómo,no,[kɔm],com,no,[komo],cómo,no,,,,,,,,,
III,1,heavy,"grăvis,-e (adj.)",pɨ'zadu,pesado,NO,peˈsaðo,pesado,NO,pe'saðo,pesado,NO,gɾɛw,greu,YES,,,,ˈpɛzadu,pesadu,NO,,,,,,
III,2,small,"parvus, -a, -um (adj.)",pɨ'kenʊ,pequeno,NO,peˈkeɲo,pequeno,NO,pe'keɲo,pequeño,NO,pə'tit,petit,NO,,,,ˈpɛkɛnu,pequenu,NO,,,,,,
III,3,short,"brĕvis, -e (adj.)",kuɾtu,curto,NO,ˈkuɾto,curto,NO,koɾto,corto,NO,bɾɛw,breu,YES,,,,ˈkuɾtu,curt,NO,,,,,,
III,4,narrow,"strictus, -a , -um (adj.)",iʃ'tɾejtu,estreito,YES,(e)ʃˈtɾejto,estreito,YES,es'tɾetʃo,estrecho,YES,əs'tɾɛt,estret,YES,,,,ɨˈstɾɛytu,estreitu,YES,,,,,,
III,5,thin,"grăcĭlis, -e (adj.)",magɾu,magro,NO,dɛɫˈɣaðo,delgado,NO,del'ɣaðo,delgado,NO,gɾə'sil,gracil,YES,,,,ˈfinu,finu,NO,,,,,,
III,6,woman,"dŏmĭna, -ae (noun.)",mu'ʎɛɾ,mulher,NO,ˈmuʎeɾ,muller,NO,mu'xeɾ,mujer,NO,dɔ.nə,dona,YES,,,,ˈmuʎɨɾ,muller,NO,,,,,,
III,7,man,"hŏmo, -inis (noun.)",ɔm'bɾɪ,homem,YES,ˈome,home,YES,omβɾe,hombre,YES,ɔ.mə,home,YES,,,,ˈɔmɨ,home,YES,,,,,,
III,8,man,"vĭr, vĭri (noun.)",ɔm'bɾɪ,homem,NO,ˈome,home,NO,omβɾe,hombre,NO,ɔ.mə,home,NO,,,,ˈɔmɨ,home,NO,,,,,,
III,9,child,"pŭĕr, -is (noun.)",kɾi'ɐ̃sɐ,criança,NO,ˈneno,peno,NO,ɲiɲo,niño,NO,nən,nen,NO,,,,kɾi'ɐ̃sɐ,criança,NO,,,,,,
III,10,wife,"uxŏr, -is (noun.)",iʃ'pozɐ,esposa,NO,ˈmuʎeɾ,muller,NO,es'posa,esposa,NO,əs'pɔ.zə,esposa,NO,,,,ˈmuʎɨɾ,muller,NO,,,,,,
III,11,husband,"mărītus, ă, am (adj.)",mɐ'ɾidu,marido,YES,maˈɾiðo,marido,YES,es'poso,esposo,NO,mə'ɾit,marit,YES,,,,mɐˈɾidu,maridu,YES,,,,,,
III,12,mother,"mātĕr, -is (noun.)",mɐ̃ɪ̯,mãe,YES,ˈnai,nai,NO,maðɾe,madre,YES,ma.ɾə,mare,YES,,,,ˈmaj,mai,YES,,,,,,
III,13,father,"pătĕr, -is (noun.)",paj,pai,YES,ˈpai,pai,YES,padɾe,padre,YES,pa.təɾ,pare,YES,,,,ˈpaj,pai,YES,,,,,,
III,14,animal,"ănĭmăl, - is (noun.)",ɐni'mal,animal,YES,aniˈmaɫ,animal,YES,a.ni'mal,animal,YES,ə.ni'mal,animal,YES,,,,ɐniˈmaɫ,animal,YES,,,,,,
III,15,fish,"piscis, -is ( noun.)",peʃ,peixe,YES,ˈpeiʃe,peixe,YES,pez,pez,YES,peʃ,peix,YES,,,,ˈpeʃi,peixe,YES,,,,,,
